article_id,product_code,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,index_name,index_group_name,section_name,garment_group_name,detail_desc,image_path,price,popularity_score
0000000001,0000000001,白色通勤衬衫,衬衫,上衣,纯色,白色,浅色,白色,通勤女装,淘宝服装,女装,通勤,衬衫,白色棉质通勤衬衫，适合办公室和日常穿着。,images/0000000001.jpg,299,0.92
0000000002,0000000002,黑色晚礼服,连衣裙,裙装,纯色,黑色,深色,黑色,女装,淘宝服装,女装,晚宴,连衣裙,黑色简约晚礼服，适合正式晚宴和约会场景。,images/0000000002.jpg,399,0.88
0000000003,0000000003,蓝色直筒牛仔裤,牛仔裤,下装,水洗,蓝色,中等,蓝色,休闲女装,淘宝服装,女装,休闲,裤装,蓝色直筒牛仔裤，日常休闲百搭，适合通勤出行。,images/0000000003.jpg,259,0.86
0000000004,0000000004,红色轻薄风衣,外套,外套,纯色,红色,中等,红色,户外女装,淘宝服装,女装,户外,风衣,红色轻薄风衣，防风便携，适合春秋户外活动。,images/0000000004.jpg,369,0.79
0000000005,0000000005,粉色约会半身裙,半身裙,裙装,褶皱,粉色,浅色,粉色,女装,淘宝服装,女装,约会,裙装,粉色褶皱半身裙，轻盈柔软，适合约会和春日出游。,images/0000000005.jpg,229,0.74
0000000006,0000000006,灰色运动短裤,短裤,下装,纯色,灰色,中等,灰色,运动女装,淘宝服装,女装,运动,运动裤,灰色轻便运动短裤，适合跑步健身和户外运动。,images/0000000006.jpg,159,0.71
0000000007,0000000007,米色针织开衫,开衫,上衣,针织,米色,浅色,米色,通勤女装,淘宝服装,女装,通勤,针织衫,米色柔软针织开衫，适合办公室叠穿和换季保暖。,images/0000000007.jpg,319,0.68
0000000008,0000000008,棕色短款夹克,夹克,外套,皮革纹理,棕色,深色,棕色,休闲女装,淘宝服装,女装,休闲,夹克,棕色短款夹克，利落版型，适合日常通勤和城市出行。,images/0000000008.jpg,429,0.64
0000000009,0000000009,黄色连帽卫衣,卫衣,上衣,印花,黄色,浅色,黄色,运动女装,淘宝服装,女装,运动,卫衣,黄色连帽卫衣，舒适宽松，适合休闲运动和周末出游。,images/0000000009.jpg,199,0.61
0000000010,0000000010,紫色防晒衬衫,衬衫,上衣,纯色,紫色,中等,紫色,户外女装,淘宝服装,女装,户外,衬衫,紫色轻薄防晒衬衫，适合夏季旅行和户外活动。,images/0000000010.jpg,279,0.57
